Date,Tweet_id,User_name,Screen_name,Location,Tweet
20-01-2011,1.12247e+18,b'TIMES NOW',b'TimesNow',b'India',"b'RT @timesnowsports: #DCvsRCB #IPL2019 \n\nWicket! Umesh Yadav draws first blood for RCB, removes Prithvi Shaw \n\nLive updates: https://t.co/BJ\xe2\x80\xa6'"
28-11-2008,1.12247e+18,b'DNA',b'dna',b'India',b'#IPL2019 #DCvsRCB Live: @DelhiCapitals lose their third wicket\n\nRishabh Pant goes for 7.\n\nDelhi: 127/3 (14.5) \n\nhttps://t.co/0HQzgkbRRw'
13-01-2011,1.12247e+18,b'CricketCountry',b'cricket_country',b'Global',b'#IPL2019 #iPL #DCvRCB #RCBvDC\n\nOUT! Chahal strikes in his final over. Rishabh Pant departs for 7. Takes a review bu\xe2\x80\xa6 https://t.co/ZiGaDoFGjB'
29-07-2008,1.12247e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 14.5: WICKET! R Pant (7) is out, lbw Yuzvendra Chahal, 127/3 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
04-03-2009,1.12247e+18,b'Indiacom',b'indiacom',b'India',"b'#IPL2019 #DCvRCB #DCvsRCB .@SDhawan25 Slams 37th Fifty During @DelhiCapitals vs @RCBTweets Clash, #Gabbar Sets Twit\xe2\x80\xa6 https://t.co/df1gtfTXli'"
01-05-2009,1.12247e+18,b'NDTV',b'ndtv',b'India',b'RT @CricketNDTV: IPL 2019: Shreyas Iyer scores his 13th IPL fifty. Delhi Capitals 126/2 in 14.3 overs Royal Challengers Bangalore\n\n#DCvsRCB\xe2\x80\xa6'
04-09-2009,1.12247e+18,b'CricketNDTV',b'CricketNDTV',b'India',b'IPL 2019: Shreyas Iyer scores his 13th IPL fifty. Delhi Capitals 126/2 in 14.3 overs Royal Challengers Bangalore\xe2\x80\xa6 https://t.co/dsYmd93VkE'
22-04-2009,1.12247e+18,b'India TV',b'indiatvnews',b'India',b'#IPL2019 #DCvRCB: FIFTY! Shreyas Iyer scores his 13th IPL half-century. Delhi Capitals 126/2 in 14.3 overs vs Royal\xe2\x80\xa6 https://t.co/AFJx7rG4cW'
29-03-2008,1.12247e+18,b'Cricbuzz',b'cricbuzz',b'',b'13th IPL half-century for Shreyas Iyer .. off just 34 deliveries.\n\nGets to the landmark with a SIX.\xe2\x80\xa6 https://t.co/OZjPtKQr6w'
15-07-2011,1.12247e+18,b'Firstpost Sports',b'FirstpostSports',b'India',b'@SDhawan25 FIFTY! \n\nTwo sixes in three balls and Iyer completes his fifty in 34 deliveries\n\n#DC 126/2 (14.3)  \n\nFol\xe2\x80\xa6 https://t.co/WVpTy2kQzY'
13-01-2011,1.12247e+18,b'CricketCountry',b'cricket_country',b'Global',b'#IPL2019 #iPL #DCvRCB #RCBvDC\n\nFIFTY FOR IYER! @DelhiCapitals skipper is leading from the front. He has hit two six\xe2\x80\xa6 https://t.co/3EjrgaPzlH'
